reply_id,parent_comment_id,author_channel_id,published_at,updated_at,reply_like_count,text,video_id,sent_compound
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AIk5YmxC60y,Ugw8ugyhrWlzZgky9rF4AaABAg,UCm-bcTprjziQK8sOhGTGN-g,2025-05-30T10:45:01Z,2025-05-30T10:45:01Z,0,@nutanh5873 cry morre.,m3cofWQwYUU,-0.4767
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AIlFlEizlST,Ugw8ugyhrWlzZgky9rF4AaABAg,UCUPFY_Lc4OaEKlPCAOr1nkA,2025-05-30T21:33:29Z,2025-05-30T21:33:29Z,0,@terryfckwinever did mate,m3cofWQwYUU,0.0
UgyLbh6oakbrlf-lVO14AaABAg.AIZVQoakReIAIZZMgaXgvD,UgyLbh6oakbrlf-lVO14AaABAg,UCGsNGqK3qWFsmweAq75r4Cg,2025-05-25T23:14:38Z,2025-05-25T23:14:38Z,8,"yeah it hurts fr, hope he has a hell of a career with Madrid",m3cofWQwYUU,-0.5574
UgyLbh6oakbrlf-lVO14AaABAg.AIZVQoakReIAIZnBZSGXs1,UgyLbh6oakbrlf-lVO14AaABAg,UCgClVra4LoDLN8tGQqPUlxg,2025-05-26T01:24:11Z,2025-05-26T01:24:11Z,6,"For me, it's the right time for him to leave. He's already won everything with Liverpool. Right now, Liverpool need hunger young players to win more and more trophy. Player come and go. The only remain is club and the fans. We move on for a better future with new generation of players who is more hunger to win more silverware and create more history.",m3cofWQwYUU,0.9237
Ugyfj764MewCzMZrDmx4AaABAg.AIZB2oauDnNAI_r4SkzHK7,Ugyfj764MewCzMZrDmx4AaABAg,UCyeps8rKcwNKcnCcLJbN7ew,2025-05-26T11:17:24Z,2025-05-26T11:17:24Z,0,Madrid?,m3cofWQwYUU,0.0
Ugyfj764MewCzMZrDmx4AaABAg.AIZB2oauDnNAIaYC3UF7lN,Ugyfj764MewCzMZrDmx4AaABAg,UCwr_LBDVi3opV-9gB2ja8GQ,2025-05-26T17:42:55Z,2025-05-26T17:42:55Z,0,At Madrid,m3cofWQwYUU,0.0
Ugyfj764MewCzMZrDmx4AaABAg.AIZB2oauDnNAIbujLxBA8s,Ugyfj764MewCzMZrDmx4AaABAg,UCYkEQ2uIq6xj43tdi0T8tVw,2025-05-27T06:27:49Z,2025-05-27T06:27:49Z,0,Really Trent will leave Liverpool 😢,m3cofWQwYUU,-0.552
Ugyfj764MewCzMZrDmx4AaABAg.AIZB2oauDnNAJA1LS3xzQz,Ugyfj764MewCzMZrDmx4AaABAg,UCdpxrjlBaea_CPROJ6NGcxw,2025-06-09T21:47:45Z,2025-06-09T21:47:45Z,0,at madrid 😁🤣,m3cofWQwYUU,0.7351
UgyV2rEEhP-7Gu8_ZAt4AaABAg.AIZCbUdkQgfAI_VDU5FzS9,UgyV2rEEhP-7Gu8_ZAt4AaABAg,UCREmiYjDWZIyB73_hg439pA,2025-05-26T07:57:39Z,2025-05-26T07:57:43Z,4,Except when your fans booed him. But let's gloss over that!.,m3cofWQwYUU,0.0
UgyV2rEEhP-7Gu8_ZAt4AaABAg.AIZCbUdkQgfAI_ZRYTjTy8,UgyV2rEEhP-7Gu8_ZAt4AaABAg,UCocLUQNX_5OOqkdYxYVRWhg,2025-05-26T08:34:32Z,2025-05-26T08:34:32Z,0,"​@jim992p
Kind of like how Assna fans booed RVP who isn't even from their academy 💀💀
Or like Ashley Cole...
Rooney, Xhaka, Havertz the list goes on.
""But let's gloss over that!"" 🤡🤡🤡
Stop acting like booing a player is something exclusively to do with Liverpool it's wider than that! 🤷‍♂️",m3cofWQwYUU,0.5248
UgyV2rEEhP-7Gu8_ZAt4AaABAg.AIZCbUdkQgfAI__fIsQUTt,UgyV2rEEhP-7Gu8_ZAt4AaABAg,UCREmiYjDWZIyB73_hg439pA,2025-05-26T08:45:17Z,2025-05-26T08:45:29Z,1,​@RyanE01 as are the liverpool fans who booed their own player after devoting his life to them for 20 years. Shocking.,m3cofWQwYUU,0.1027
UgyV2rEEhP-7Gu8_ZAt4AaABAg.AIZCbUdkQgfAIb-43wOiyl,UgyV2rEEhP-7Gu8_ZAt4AaABAg,UCLGKFq9ken386ppmAIdulPA,2025-05-26T21:55:14Z,2025-05-26T21:55:14Z,0,@jim992p And they were right to.,m3cofWQwYUU,0.0
UgyV2rEEhP-7Gu8_ZAt4AaABAg.AIZCbUdkQgfAIoDg1uv4AY,UgyV2rEEhP-7Gu8_ZAt4AaABAg,UCR3_a416tvlxFxn6rlWzs1g,2025-06-01T01:13:01Z,2025-06-01T01:13:01Z,0,"In my opinion I think if any club legend is booed by the fans then the fans are a disgrace imo. Regardless the situation regardless how they have left ( obviously if they’ve mocked the club prior to leaving then in my eye they are no longer a legend and don’t deserve the respect a legend is shown )  they deserve the appreciation and respect from the people they’ve sacrificed so much for we don’t know if he’s played through injuries and ended up causing permanent and irreversible damage some players do and have caused that. Every time a player steps on that pitch their career is at risk and god forbid their life all it takes is an unfortunate landing , collision, unexpected injury , a horrible tackle etc so many scenarios the least they deserve is to be roared onto the pitch one last time. You can’t sing you’ll never walk alone and then immediately turn your back on a club legend only for a legend like klopp to explain it to your fans and now your fans preach youll never walk alone ( imo ynwa is an intimidating and very good song/chant/what ever you call it I’m not having a dig at ynwa) and no doubt you’ll rattle of countless Liverpool legends who received a good send off but I was in disbelief that your fans booed Trent.",m3cofWQwYUU,-0.3201
UgyV2rEEhP-7Gu8_ZAt4AaABAg.AIZCbUdkQgfAM9jv-DQnCf,UgyV2rEEhP-7Gu8_ZAt4AaABAg,UCyJmMGPrnYOuLL4-8NQ3B-g,2025-08-23T08:40:53Z,2025-08-23T08:40:53Z,0,"Don't support liverpool.  

You never leave youre heart",m3cofWQwYUU,-0.6681
UgyV2rEEhP-7Gu8_ZAt4AaABAg.AIZCbUdkQgfAM9k33eW19C,UgyV2rEEhP-7Gu8_ZAt4AaABAg,UCyJmMGPrnYOuLL4-8NQ3B-g,2025-08-23T08:42:08Z,2025-08-23T08:42:08Z,0,"​@lioncookiejump1971
How about the player shows real heart and balls by sticking by his club ! 

Sell out",m3cofWQwYUU,0.6696
UgwABR3pt-NXpw9NIKp4AaABAg.AIZGSDnWbpTAIZOC_dQZVU,UgwABR3pt-NXpw9NIKp4AaABAg,UCLWbNOoAqlftFAlWxvGUupA,2025-05-25T21:37:08Z,2025-05-25T21:37:08Z,2,Celebrate if he scores against us,m3cofWQwYUU,0.5719
UgwABR3pt-NXpw9NIKp4AaABAg.AIZGSDnWbpTAIZaNcLnAqC,UgwABR3pt-NXpw9NIKp4AaABAg,UCM5UaHi2YG-TrmSGDCsap5w,2025-05-25T23:32:14Z,2025-05-25T23:32:14Z,0,@KSG-2kim doing that ❤,m3cofWQwYUU,0.6369
UgwABR3pt-NXpw9NIKp4AaABAg.AIZGSDnWbpTAIZnBQK236B,UgwABR3pt-NXpw9NIKp4AaABAg,UC6_XJBcwFLXT0tDe-5bACaQ,2025-05-26T01:24:10Z,2025-05-26T01:24:10Z,0,Sein Geniestreich (ecke) gegen Barcelona bleibt unvergessen!!!,m3cofWQwYUU,0.0
UgwABR3pt-NXpw9NIKp4AaABAg.AIZGSDnWbpTAI_pVxWK0DX,UgwABR3pt-NXpw9NIKp4AaABAg,UCoCwWtEK6Xjc3n9-U67lT4A,2025-05-26T11:03:41Z,2025-05-26T11:03:41Z,1,I doubt that,m3cofWQwYUU,-0.3612
UgwABR3pt-NXpw9NIKp4AaABAg.AIZGSDnWbpTANcPT6c-TSx,UgwABR3pt-NXpw9NIKp4AaABAg,UC2N6solZV8MOl8n9quZBZqQ,2025-09-28T17:42:03Z,2025-09-28T17:42:03Z,0,Could’ve left a bigger name if he stayed,m3cofWQwYUU,0.0
Ugzw863HTCUlSCKbJdR4AaABAg.AIZCRygSutwAIZNV5Y4maq,Ugzw863HTCUlSCKbJdR4AaABAg,UCdVLikt3pkhxGAQSl7-zSQQ,2025-05-25T21:30:55Z,2025-05-25T21:30:55Z,1,Thanks a million 🎉,m3cofWQwYUU,0.6808
